open_ms,open,high,low,close,volume
1672531200000,16537.5,16618.8,16488.0,16610.3,0.0
1672617600000,16610.4,16799.0,16541.2,16666.0,0.0
1672704000000,16665.9,16774.0,16600.3,16667.2,0.0
1672790400000,16667.3,16984.6,16645.7,16842.1,0.0
1672876800000,16842.2,16872.8,16740.4,16823.8,0.0
1672963200000,16823.8,17030.0,16664.8,16943.8,0.0
1673049600000,16943.9,16973.6,16900.1,16936.5,0.0
1673136000000,16936.5,17181.1,16905.0,17124.7,0.0
1673222400000,17124.6,17387.8,17098.2,17169.7,0.0
1673308800000,17169.6,17485.4,17140.4,17428.8,0.0
1673395200000,17428.8,18013.2,17306.4,17935.7,0.0
1673481600000,17935.6,19120.0,17902.4,18838.0,0.0
1673568000000,18838.1,19997.8,18711.0,19924.2,0.0
1673654400000,19924.3,21544.0,19882.6,20962.8,0.0
1673740800000,20962.8,21073.8,20556.0,20882.7,0.0
1673827200000,20882.7,21498.0,20606.6,21188.3,0.0
1673913600000,21188.2,21640.0,20827.8,21130.9,0.0
1674000000000,21130.8,21672.0,20386.0,20680.0,0.0
1674086400000,20680.1,21183.9,20659.9,21068.3,0.0
1674172800000,21068.3,22750.0,20856.4,22661.1,0.0
1674259200000,22661.0,23390.0,22422.0,22781.9,0.0
1674345600000,22781.8,23080.2,22287.0,22704.6,0.0
1674432000000,22704.7,23193.1,22500.0,22913.1,0.0
1674518400000,22913.3,23158.7,22450.0,22627.4,0.0
1674604800000,22627.5,23837.4,22310.5,23060.6,0.0
1674691200000,23060.6,23278.7,22843.8,23001.9,0.0
1674777600000,23001.9,23500.0,22516.6,23068.0,0.0
1674864000000,23068.1,23185.0,22870.8,23015.9,0.0
1674950400000,23016.0,23962.7,22961.5,23740.3,0.0
1675036800000,23740.2,23804.6,22484.2,22819.9,0.0
1675123200000,22819.9,23330.0,22715.3,23119.4,0.0
1675209600000,23119.5,23852.4,22747.0,23730.0,0.0
1675296000000,23730.1,24281.4,23365.0,23493.1,0.0
1675382400000,23493.0,23719.9,23201.0,23424.7,0.0
1675468800000,23424.7,23591.4,23250.0,23322.6,0.0
1675555200000,23322.6,23436.0,22741.0,22929.2,0.0
1675641600000,22929.3,23159.4,22600.0,22757.7,0.0
1675728000000,22757.8,23368.6,22742.4,23234.1,0.0
1675814400000,23234.1,23450.0,22662.9,22955.9,0.0
1675900800000,22955.9,23007.8,21684.7,21793.4,0.0
1675987200000,21793.3,21933.8,21405.0,21618.6,0.0
1676073600000,21618.6,21891.9,21594.4,21851.3,0.0
1676160000000,21851.2,22080.9,21618.0,21771.1,0.0
1676246400000,21771.0,21888.0,21338.0,21766.2,0.0
1676332800000,21766.1,22320.0,21485.2,22187.4,0.0
1676419200000,22187.4,24420.0,22038.5,24332.6,0.0
1676505600000,24332.7,25290.0,23518.0,23526.6,0.0
1676592000000,23526.6,25043.2,23350.0,24581.5,0.0
1676678400000,24581.3,24887.5,24430.6,24636.9,0.0
1676764800000,24636.8,25200.0,24179.4,24265.9,0.0
1676851200000,24265.9,25140.0,23827.0,24849.9,0.0
1676937600000,24849.9,25347.6,24150.0,24443.4,0.0
1677024000000,24443.3,24468.5,23572.0,24171.3,0.0
1677110400000,24171.3,24588.0,23590.0,23928.8,0.0
1677196800000,23928.7,24138.6,22800.0,23175.6,0.0
1677283200000,23175.5,23210.5,22700.0,23146.2,0.0
1677369600000,23173.0,23664.0,23170.0,23550.0,10.70395
1677456000000,23547.0,23881.0,23153.0,23477.0,42.54159
1677542400000,23466.0,23590.0,23021.0,23119.0,41.95336
1677628800000,23128.0,24007.0,23016.0,23625.0,44.11258
1677715200000,23620.0,23783.0,23195.0,23456.0,39.15833
1677801600000,23462.0,23467.0,21937.0,22342.0,37.94228
1677888000000,22328.0,22399.0,22151.0,22337.0,15.85553
1677974400000,22329.0,22631.0,22184.0,22416.0,23.94134
1678060800000,22418.0,22589.0,22263.0,22394.0,29.2664
1678147200000,22397.0,22548.0,21921.0,22187.0,61.70521
1678233600000,22188.0,22275.0,21553.0,21697.0,69.15417
1678320000000,21694.0,21821.0,20026.0,20352.0,114.40674
1678406400000,20349.0,20349.0,19558.0,20141.0,163.09266
1678492800000,20141.0,20670.0,19763.0,20449.0,111.43879
1678579200000,20449.0,22127.0,20263.0,21984.0,108.34313
1678665600000,21981.0,24510.0,21812.0,24118.0,299.50542
1678752000000,24124.0,26477.0,23970.0,24688.0,301.0041
1678838400000,24684.0,25199.0,23903.0,24285.0,286.08527
1678924800000,24288.0,25162.0,24131.0,24994.0,185.29337
1679011200000,24990.0,27758.0,24877.0,27384.0,292.51614
1679097600000,27384.0,27712.0,26573.0,26902.0,185.55681
1679184000000,26906.0,28597.7,26816.0,27950.0,206.19458
1679270400000,27959.0,28464.0,27121.0,27709.0,233.31213
1679356800000,27711.0,28445.0,27293.0,28093.0,166.36969
1679443200000,28077.0,28792.0,26597.0,27234.0,119.76765
1679529600000,27234.0,28773.0,27104.0,28278.0,104.12913
1679616000000,28285.0,28368.0,26976.0,27436.0,107.60628
1679702400000,27441.0,27779.0,27146.0,27456.0,58.07685
1679788800000,27447.0,28180.0,27403.0,27959.0,62.00087
1679875200000,27955.0,28014.0,26524.0,27107.0,73.80828
1679961600000,27111.0,27499.0,26642.0,27251.0,90.57893
1680048000000,27248.0,28625.0,27226.0,28332.0,88.21458
1680134400000,28334.0,29167.0,27699.0,28014.0,106.5462
1680220800000,28014.0,28651.0,27502.0,28463.0,95.56441
1680307200000,28458.0,28832.0,28210.0,28438.0,38.99678
1680393600000,28444.0,28513.0,27835.0,28160.0,53.81316
1680480000000,28161.0,28510.0,27177.0,27790.0,113.00247
1680566400000,27787.0,28439.0,27652.0,28153.0,84.9127
1680652800000,28156.0,28784.0,27788.0,28159.0,80.44351
1680739200000,28154.0,28168.0,27688.0,28021.0,68.75536
1680825600000,28024.0,28093.0,27756.0,27887.0,32.51611
1680912000000,27891.0,28143.0,27851.0,27925.0,21.19212
1680998400000,27923.0,28524.0,27770.0,28311.0,44.71236
1681084800000,28307.0,29820.0,28161.0,29626.0,85.56967
1681171200000,29624.0,30573.7,29575.0,30186.0,110.3042
1681257600000,30186.0,30451.0,29328.0,29867.0,178.75338
1681344000000,29875.0,30701.0,29839.0,30359.0,124.27211
1681430400000,30363.0,31032.0,29948.0,30454.0,180.51218
1681516800000,30452.0,30594.0,30189.0,30281.0,38.59936
1681603200000,30280.0,30547.0,30105.0,30288.0,42.92235
1681689600000,30286.0,30304.0,29148.0,29420.0,78.46345
1681776000000,29420.0,30477.0,29080.0,30369.0,80.91365
1681862400000,30365.0,30400.0,25293.0,28804.0,131.13842
1681948800000,28795.0,29068.0,27986.0,28229.0,122.54609
1682035200000,28223.0,28363.0,27150.0,27254.0,123.41128
1682121600000,27252.0,27869.0,27131.0,27800.0,66.80917
1682208000000,27804.0,27804.0,27310.0,27574.0,82.5861
1682294400000,27571.0,27991.0,26949.0,27494.0,137.14596
1682380800000,27498.0,28374.0,27181.0,28281.0,117.08792
1682467200000,28287.0,30028.0,27226.0,28396.0,217.89242
1682553600000,28397.0,29890.0,28368.0,29465.0,223.98832
1682640000000,29459.0,29589.0,28894.0,29296.0,114.7906
1682726400000,29295.0,29430.0,29011.0,29214.0,40.50079
1682812800000,29213.0,29948.0,29074.0,29216.0,67.98343
1682899200000,29223.0,29325.0,27651.0,28054.0,123.28312
1682985600000,28053.0,28865.0,27869.0,28660.0,110.64869
1683072000000,28657.0,29253.0,28102.0,29015.0,122.64924
1683158400000,29019.0,29377.0,28661.0,28828.0,97.49495
1683244800000,28827.0,29675.0,28764.0,29492.0,91.40473
1683331200000,29491.0,29824.0,28361.0,28837.0,54.0319
1683417600000,28835.0,29131.0,28381.0,28419.0,56.66959
1683504000000,28414.0,28609.0,27252.0,27656.0,93.35323
1683590400000,27661.0,27801.0,27300.0,27615.0,41.96137
